osm_id,code,fclass,name,longitude,latitude,facility_count,status
"330063880",5250,fuel,SPBU,99.161,3.322,33,strategis
"456045476",5250,fuel,SPBU,101.471,0.500,36,strategis
"457837210",5250,fuel,Pertamina,101.428,0.613,0,tidak stra
"457837211",5250,fuel,Pertamina,101.438,0.687,0,tidak stra
"457837500",5250,fuel,Pertamina,101.403,0.538,1,tidak stra
"457837513",5250,fuel,Pertamina,101.399,0.574,1,tidak stra
"462086851",5250,fuel,SPBU,101.422,0.535,28,strategis
"462165004",5250,fuel,SPBU,101.396,0.512,1,tidak stra
"467530312",5250,fuel,Pertamina,101.527,0.465,1,tidak stra
"470790180",5250,fuel,SPBU Pertamina,101.490,0.514,2,tidak stra
"470790469",5250,fuel,Pertamina,101.568,0.458,0,tidak stra
"470793864",5250,fuel,Pertamina,101.804,0.656,2,tidak stra
"700645194",5250,fuel,SPBU,103.965,1.058,16,strategis
"702182327",5250,fuel,Fuel Station (Spbu Tembesi),104.001,1.040,7,strategis
"702183002",5250,fuel,Fuel Temiang,103.968,1.062,2,tidak stra
"702328175",5250,fuel,,103.954,1.050,25,strategis
"702350219",5250,fuel,PERTAMINA Sukajadi,104.022,1.114,17,strategis
"702352162",5250,fuel,PERTAMINA Duriangkang,104.037,1.097,13,strategis
"702670734",5250,fuel,PERTAMINA Al-Azhar,104.021,1.134,68,strategis
"703814989",5250,fuel,PERTAMINA Harbour Bay,104.002,1.154,77,strategis
"705081941",5250,fuel,Fuel Station (Rumah Hitam) Sekupang,103.950,1.110,35,strategis
"707537290",5250,fuel,Fuel Bensin Mekar Sari,103.979,1.111,33,strategis
"707606017",5250,fuel,Fuel Bensin Tiban 3,103.966,1.109,28,strategis
"718932258",5250,fuel,Fuel Uib,104.005,1.121,14,strategis
"736621162",5250,fuel,PERTAMINA Belakang BCA Jodoh,104.006,1.153,112,strategis
"736630440",5250,fuel,PERTAMINA Seraya,104.017,1.148,169,strategis
"760475100",5250,fuel,PERTAMINA KDA Batam Kota,104.076,1.102,14,strategis
"760485238",5250,fuel,SPBU Kapital Raya,104.090,1.107,10,strategis
"760491346",5250,fuel,Fuel Station(Spbu Kabil),104.118,1.084,1,tidak stra
"799261457",5250,fuel,SPBU Arengka,101.419,0.454,15,strategis
"799261468",5250,fuel,Pertamina,101.418,0.448,19,strategis
"799261493",5250,fuel,,101.463,0.433,11,strategis
"799261496",5250,fuel,Pertamina,101.444,0.433,9,strategis
"799261509",5250,fuel,Pertamina,101.508,0.500,2,tidak stra
"820947020",5250,fuel,,98.971,2.209,1,tidak stra
"820947037",5250,fuel,,98.945,2.082,1,tidak stra
"820947048",5250,fuel,,98.974,2.025,1,tidak stra
"820947051",5250,fuel,,99.070,2.334,8,strategis
"820947052",5250,fuel,,99.002,2.270,2,tidak stra
"820983157",5250,fuel,,99.563,0.851,1,tidak stra
"820983186",5250,fuel,,99.306,1.448,0,tidak stra
"820983200",5250,fuel,,100.060,0.359,2,tidak stra
"820983248",5250,fuel,,99.571,0.810,2,tidak stra
"820983258",5250,fuel,,99.548,0.900,0,tidak stra
"820986764",5250,fuel,,100.162,0.156,2,tidak stra
"820986768",5250,fuel,,100.372,-0.311,92,strategis
"856982312",5250,fuel,PERTAMINA PIH,104.058,1.123,30,strategis
"859634969",5250,fuel,SPBU Pertamina 14.281669,101.450,0.540,25,strategis
"859646823",5250,fuel,SPBU Pertamina,101.456,0.542,15,strategis
"885991631",5250,fuel,SPBU,101.453,0.477,29,strategis
"901205298",5250,fuel,PERTAMINA Duta Mas,104.039,1.105,23,strategis
"903271275",5250,fuel,PERTAMINA Sungai Panas,104.027,1.139,68,strategis
"1368722084",5250,fuel,Pertamina,99.287,1.562,1,tidak stra
"1369108451",5250,fuel,SPBU Pertamina,100.300,0.888,9,strategis
"1369151775",5250,fuel,Pertamina,100.504,0.735,0,tidak stra
"1369156535",5250,fuel,Pertamina,100.548,0.701,14,strategis
"1369177805",5250,fuel,Pertamina,100.641,0.610,1,tidak stra
"1370923765",5250,fuel,Pertamina,98.944,2.666,12,strategis
"1668695492",5250,fuel,Pertamina,105.253,-5.421,177,strategis
"1848326928",5250,fuel,SPBU PENGKALA,97.341,4.001,14,strategis
"1849888547",5250,fuel,,95.793,4.474,0,tidak stra
"1850975650",5250,fuel,SPBU RAKLUNUNG,97.344,3.989,12,strategis
"1879016496",5250,fuel,,105.270,-5.445,114,strategis
"1934657811",5250,fuel,SPBU Simpang Kimbang,100.579,-0.462,9,strategis
"1980660370",5250,fuel,SPBU Cubadag,100.545,-0.464,3,tidak stra
"1989177390",5250,fuel,SPBU parak juar,100.588,-0.450,17,strategis
"2055935651",5250,fuel,SPBU,101.407,0.481,29,strategis
"2055935657",5250,fuel,SPBU,101.364,0.499,5,strategis
"2105116003",5250,fuel,SPBU Pertamina,101.180,1.283,21,strategis
"2108523159",5250,fuel,SPBU Pertamina,101.193,1.287,34,strategis
"2170588590",5250,fuel,,98.717,3.541,10,strategis
"2171314463",5250,fuel,,98.942,2.667,13,strategis
"2323985963",5250,fuel,,98.677,3.595,144,strategis
"2410482763",5250,fuel,Pertamina,105.175,-5.206,1,tidak stra
"2419456159",5250,fuel,Pertamina,105.215,-4.890,14,strategis
"2419456160",5250,fuel,Pertamina,105.598,-5.722,7,strategis
"2425707651",5250,fuel,SPBU,104.706,-2.919,8,strategis
"2441129245",5250,fuel,SPBU Padang Jati,102.275,-3.803,40,strategis
"2526523019",5250,fuel,,105.527,-4.927,0,tidak stra
"2600946017",5250,fuel,Kios Bensin,105.114,-4.550,0,tidak stra
"2613700851",5250,fuel,Pertamina,97.640,1.249,1,tidak stra
"2631648804",5250,fuel,,97.639,1.257,1,tidak stra
"2631648805",5250,fuel,,97.635,1.271,0,tidak stra
"2668835562",5250,fuel,Pertamina,105.353,-5.086,3,tidak stra
"2706757261",5250,fuel,SPBU Pasar Pagi Soekarno Hatta,101.419,0.467,32,strategis
"2775852100",5250,fuel,SPBU,102.102,-1.317,21,strategis
"2813165758",5250,fuel,,98.492,3.092,0,tidak stra
"2813171193",5250,fuel,Pertamina,98.509,3.195,72,strategis
"2815460733",5250,fuel,,98.416,3.531,1,tidak stra
"2823824388",5250,fuel,,98.301,3.495,0,tidak stra
"2962728956",5250,fuel,Pertamina,101.463,1.678,9,strategis
"2978689949",5250,fuel,SPBU,101.438,1.678,12,strategis
"3001930669",5250,fuel,Pertamina,101.189,0.742,0,tidak stra
"3001944295",5250,fuel,Pertamina,100.926,0.310,0,tidak stra
"3021624637",5250,fuel,SPBU,101.391,1.601,1,tidak stra
"3024494938",5250,fuel,Pertamina,97.140,5.182,18,strategis
"3026542018",5250,fuel,SPBU,101.448,1.666,15,strategis
"3051403483",5250,fuel,Pertamina,101.023,0.415,0,tidak stra
"3051409688",5250,fuel,Pertamina,100.973,0.332,0,tidak stra
"3051467663",5250,fuel,Pertamina,100.600,-0.263,1,tidak stra
"3068107713",5250,fuel,SPBU Air Sebakul,102.346,-3.832,0,tidak stra
"3101702919",5250,fuel,,101.468,0.482,4,tidak stra
"3111350010",5250,fuel,SPBU Balai Raja,101.240,1.214,1,tidak stra
"3144050026",5250,fuel,,99.154,2.448,0,tidak stra
"3158949331",5250,fuel,SPBU,96.826,3.730,41,strategis
"3160809191",5250,fuel,SPBU JULI,96.702,5.192,7,strategis
"3168932887",5250,fuel,Pom Bensin,102.129,1.489,26,strategis
"3169694228",5250,fuel,Pom Bensin,102.131,1.478,21,strategis
"3205617797",5250,fuel,Depot Elpiji,101.574,0.462,0,tidak stra
"3216854965",5250,fuel,Pom Bensin,102.139,1.457,7,strategis
"3235941577",5250,fuel,SPBU,101.452,0.504,77,strategis
"3235993314",5250,fuel,SPBU Thamrin,101.458,0.516,38,strategis
"3237890505",5250,fuel,Pertamina,102.047,0.934,0,tidak stra
"3242943497",5250,fuel,Pertamina,102.147,1.375,1,tidak stra
"3242999262",5250,fuel,Pertamina,102.105,1.106,2,tidak stra
"3261710770",5250,fuel,SPBU,102.207,1.525,3,tidak stra
"3261816232",5250,fuel,SPMA,102.464,1.294,2,tidak stra
"3262170349",5250,fuel,Pertamina,102.474,1.498,2,tidak stra
"3328120468",5250,fuel,SPBU,96.849,3.731,21,strategis
"3352222769",5250,fuel,,98.684,3.599,82,strategis
"3352222781",5250,fuel,SPBU Coco 11.201.101,98.673,3.602,79,strategis
"3435347276",5250,fuel,SPBU Pertamina,101.280,1.142,1,tidak stra
"3441376501",5250,fuel,Pertamina,99.704,2.925,1,tidak stra
"3478378642",5250,fuel,SPBU Mempura,102.067,0.753,0,tidak stra
"3478391316",5250,fuel,SPBU,102.027,0.825,2,tidak stra
"3546140269",5250,fuel,Pertamina,105.213,-4.927,28,strategis
"3584856293",5250,fuel,,98.432,3.608,0,tidak stra
"3638556931",5250,fuel,SPBU KKSP,100.465,-0.957,2,tidak stra
"3685276831",5250,fuel,SPBU Pertamina,105.185,-5.258,0,tidak stra
"3779422765",5250,fuel,Pomp bensin bayu asin,104.556,-2.928,0,tidak stra
"3780536082",5250,fuel,SPBU 24 301108,104.685,-2.913,1,tidak stra
"3781621548",5250,fuel,SPBU,104.407,-2.898,1,tidak stra
"3782995707",5250,fuel,SPBU Banyu Asin,104.433,-2.923,0,tidak stra
"3881209320",5250,fuel,Pertamina,98.601,3.456,8,strategis
"3884339189",5250,fuel,SPBU,104.090,1.107,10,strategis
"3908448642",5250,fuel,,98.688,3.586,145,strategis
"3911883976",5250,fuel,Singapore Station,98.669,3.594,166,strategis
"3912831335",5250,fuel,Pertamina,98.662,3.688,6,strategis
"3920228845",5250,fuel,SPBU Coco 11.201.107,98.695,3.599,19,strategis
"3920228846",5250,fuel,,98.707,3.625,12,strategis
"3920228852",5250,fuel,,98.681,3.639,2,tidak stra
"3920231560",5250,fuel,,98.676,3.642,6,strategis
"3920231562",5250,fuel,,98.664,3.655,2,tidak stra
"3950000541",5250,fuel,Pertamina,105.252,-5.378,44,strategis
"3952996326",5250,fuel,SPBU,105.204,-5.398,10,strategis
"3953398712",5250,fuel,Pom Kota Gajah,105.317,-4.983,8,strategis
"3982110757",5250,fuel,,99.085,3.020,1,tidak stra
"3991394940",5250,fuel,SPBU 24.317.101 Tanjung Enim,103.801,-3.731,1,tidak stra
"4015807330",5250,fuel,SPBU Sudirman atas,101.455,0.491,44,strategis
"4194564895",5250,fuel,Pertamina,101.355,0.457,91,strategis
"4195087921",5250,fuel,SPBU,102.522,-0.369,5,strategis
"4195090024",5250,fuel,SPBU,102.524,-0.370,6,strategis
"4201262687",5250,fuel,SPBU,101.395,0.491,12,strategis
"4264427752",5250,fuel,Bensin,95.244,5.882,4,tidak stra
"4264580247",5250,fuel,SPBU Tapak Gajah,95.322,5.899,24,strategis
"4271458272",5250,fuel,Pertamina,98.670,3.592,206,strategis
"4271458273",5250,fuel,Pertamina,98.672,3.595,147,strategis
"4278109369",5250,fuel,Pertamina,98.670,3.622,69,strategis
"4295522091",5250,fuel,SPBU Batu Hitam,104.446,0.911,43,strategis
"4301034991",5250,fuel,Minyak Eceran,101.773,1.644,0,tidak stra
"4310447789",5250,fuel,Pom Bensin Asrama,98.627,3.593,17,strategis
"4329084902",5250,fuel,,98.720,3.598,12,strategis
"4377182492",5250,fuel,SPBU BT10,104.511,0.920,47,strategis
"4378527294",5250,fuel,,104.632,0.992,0,tidak stra
"4378769631",5250,fuel,,98.651,3.608,70,strategis
"4395480299",5250,fuel,,97.175,3.254,2,tidak stra
"4409030444",5250,fuel,SPBU 14.20111.26,98.689,3.560,59,strategis
"4409056693",5250,fuel,SPBU,98.664,3.615,21,strategis
"4409057433",5250,fuel,SPBU,98.683,3.490,0,tidak stra
"4539697807",5250,fuel,Pertamina,98.694,3.559,61,strategis
"4542750379",5250,fuel,SPBU Kasman Lizar,98.020,2.629,12,strategis
"4545105836",5250,fuel,Pertamina,101.267,0.866,0,tidak stra
"4545197955",5250,fuel,Pertamini,101.244,0.869,50,strategis
"4545200269",5250,fuel,Pertamini,101.247,0.868,50,strategis
"4545200582",5250,fuel,Pertamini,101.247,0.869,50,strategis
"4547857498",5250,fuel,SPBU,98.739,3.597,5,strategis
"4559535473",5250,fuel,SPBU koto nan IV,100.618,-0.235,31,strategis
"4560401710",5250,fuel,SPBU,101.394,0.469,72,strategis
"4643110895",5250,fuel,Pertamina,99.283,1.366,12,strategis
"4650433287",5250,fuel,Pertamina,99.271,1.380,23,strategis
"4650433475",5250,fuel,Pertamina,99.274,1.389,4,tidak stra
"4675373454",5250,fuel,Pertamina,100.361,-0.926,21,strategis
"4764110634",5250,fuel,SPBU,101.254,0.402,7,strategis
"4782996657",5250,fuel,SPBU Pertamina Arifin Ahmad,101.431,0.478,7,strategis
"4784514410",5250,fuel,SPBU,101.433,0.515,53,strategis
"4785879729",5250,fuel,SPBU Rimbo Panjang,101.354,0.457,91,strategis
"4786074039",5250,fuel,SPBU,101.418,0.468,34,strategis
"4794772621",5250,fuel,,97.151,5.134,0,tidak stra
"4802865521",5250,fuel,SPBU,104.054,1.044,11,strategis
"4826957659",5250,fuel,,98.554,3.280,6,strategis
"4826957660",5250,fuel,,98.520,2.945,1,tidak stra
"4826957661",5250,fuel,,98.539,3.020,2,tidak stra
"4845895546",5250,fuel,,98.398,3.919,0,tidak stra
"4845895548",5250,fuel,,98.422,3.880,0,tidak stra
"4974487842",5250,fuel,Pertamina,95.345,5.867,1,tidak stra
"4992819584",5250,fuel,,98.540,3.203,4,tidak stra
"5033366321",5250,fuel,,95.730,5.444,0,tidak stra
"5033366323",5250,fuel,lampaseh jaya no 14.231.482,95.324,5.563,62,strategis
"5051514025",5250,fuel,,105.254,-5.432,38,strategis
"5076419134",5250,fuel,Pertamina,98.702,2.605,7,strategis
"5076419136",5250,fuel,,98.542,3.195,1,tidak stra
"5105421411",5250,fuel,,98.516,3.083,2,tidak stra
"5162200621",5250,fuel,,99.431,1.386,1,tidak stra
"5179350734",5250,fuel,SPBU,101.432,0.517,54,strategis
"5180907780",5250,fuel,SPBU,101.432,0.563,39,strategis
"5180907781",5250,fuel,SPBU,101.430,0.567,41,strategis
"5184506459",5250,fuel,SPBU,101.411,0.517,16,strategis
"5188010118",5250,fuel,SPBU,101.436,0.524,63,strategis
"5188010121",5250,fuel,SPBU,101.440,0.528,79,strategis
"5188010124",5250,fuel,SPBU,101.419,0.505,24,strategis
"5188010125",5250,fuel,SPBU,101.428,0.504,25,strategis
"5188010127",5250,fuel,SPBU,101.430,0.538,31,strategis
"5238737621",5250,fuel,,102.927,-3.273,11,strategis
"5238751622",5250,fuel,,103.060,-3.294,0,tidak stra
"5238861421",5250,fuel,,103.283,-3.700,0,tidak stra
"5238978734",5250,fuel,,103.699,-3.669,0,tidak stra
"5239001025",5250,fuel,,103.101,-3.609,0,tidak stra
"5239001026",5250,fuel,,104.082,-4.079,0,tidak stra
"5239002821",5250,fuel,,103.556,-3.786,2,tidak stra
"5239039725",5250,fuel,SPBU Simpang Trans Batumarta,104.251,-4.215,1,tidak stra
"5239040221",5250,fuel,,104.158,-4.100,0,tidak stra
